athlete_id,last_name,first_name,country_id,discipline_id
78,Alvarez,Lazaro,3,5
79,Alzini,Martina,8,12
80,Amdouni,Morhad,4,3
81,Ames,David,6,17
82,Amoe-tarrant,Charisma,0,37
83,Amoros,Emile,4,25
84,An,Baul,15,18
85,An,Changrim,15,18
86,An,San,15,0
87,An,Sehyeon,15,30
88,An,Seulki,15,3
89,An,Seyoung,15,4
90,Anacan,Andrea,11,19
91,Anagoz,Yasemin,18,0
92,Anastassiou,Lucie,4,26
93,Andersen,Brooke,20,3
94,Anderson,Andy,2,27
95,Anderson,Haley,20,20
96,Anderson,Lachlan,0,24
97,Anderson,Shae,20,3
98,Andino,Kolohe,20,29
99,Andison,Bailey,2,30
100,Ando,Yuka,9,3
101,Andoh,Mikiko,9,37
102,Andrade,Rebeca,1,1
103,Andre,Sylvain,4,9
104,Andre,Thiago,1,3
105,Andrejczyk,Maria,13,3
106,Andreoli,Tatiana,8,0
107,Andrew,Michael,20,30
108,Andrews,Abby,0,36
109,Andrews,Ellesse,11,12
110,Andrews-nahu,Kanah,11,37
111,Androdias,Matthieu,4,23
112,Andrusenko,Veronika,14,30
113,Andujar,Pablo,16,33
114,Angela,Ramsey,10,3
115,Angyal,Daniel,7,36
116,Ankudinoff,Ashlee,0,12
117,Anne,Mame-ibra,4,3
118,Annen,Jolanda,17,35
119,Anoshkin,Roman,14,7
120,Ansah,Owen,5,3
121,Ansah-peprah,Lucas,5,3
122,Ansell,Liam,6,17
123,Ansley,Giselle,6,17
124,Antill,Caleb,0,23
125,Antomarchi,Kaliema,3,18
126,Antonia,Ferreira,1,37
127,Antonova,Nataliia,14,12
128,Aoki,Chika,9,15
129,Aoki,Masumi,9,3
130,Aoki,Reona,9,30
131,Aoki,Ryoma,9,3
132,Aoki,Yukito,9,27
133,Aoyama,Hanae,9,3
134,Aoyama,Shuko,9,33
135,Apak,Esref,18,3
136,Apetz,Nadine,5,5
137,Apithy,Bolade,4,15
138,Appel,Cheuiche,1,14
139,Appel,Max,5,23
140,Apple,Zach,20,30
141,Aquilla,Adelaide,20,3
142,Araga,Ryutaro,9,19
143,Arai,Atsushi,9,36
144,Arai,Matsuri,9,13
145,Arakaki,Maria,1,22
146,Arakawa,Ryuta,9,23
147,Araki,Kenta,9,36
148,Arancini,Zoe,0,36
149,Arashiro,Yukiya,9,11
150,Arcanjo,Geisa,1,3
151,Arce,Daniel,16,3
152,Arenas,Julio,16,3
153,Arevalo,Alcon,16,13
154,Arevalo,Carlos,16,7
155,Arft,Caroline,5,7
156,Arican,Ferhat,18,1
157,Arikan,Okyanus,18,25
158,Arikan,Polat,18,3
159,Aristarkhov,Anton,14,26
160,Aristoteli,Alexandra,0,22
161,Armit,Elle,0,36
162,Armstrong,Emily,2,2
163,Armstrong,Joseph,20,30
164,Arnaus,Adri,16,16
165,Arndt,Nikias,5,11
166,Arop,Marco,2,3
167,Artamonov,Mikhail,14,32
168,Artingstall,Karriss,6,5
169,Asai,Yu,9,17
170,Asano,Sakiyo,9,17
171,Ashby,Madison,0,24
172,Asher-smith,Dina,6,3
173,Ashikawa,Urara,9,1
174,Ashley,Whitney,20,3
175,Asil,Adem,18,1
176,Askerov,Aleksandr,14,25
177,Aslan,Yigit,18,30
178,Asp,Yndiara,1,27
179,Aspandiyarova,Dina,0,26
180,Atatou,Wided,4,3
181,Atcho,Sarah,17,3
182,Atkin,Sam,6,3
183,Atli,Suleyman,18,38
184,Atsu,Jonathan,4,30
185,Aubry,David,4,20
186,Audinet,Manon,4,25
187,Auffarth,Sandra,5,14
188,Auger-aliassime,Felix,2,33
189,Augustyn,Rafal,13,3
190,Avancini,Henrique,1,10
191,Averina,Arina,14,22
192,Averina,Dina,14,22
193,Avola,Giorgio,8,15
194,Ayache,Alexandre,4,14
195,Azevedo,Ana,1,3
196,Azuma,Rio,9,15
197,Azuma,Sera,9,15
198,Azurmendi,Clara,16,4
199,Baauw,Judy,10,9
200,Babintseva,Aleksandra,14,18
201,Bacci,Lorenzo,8,26
202,Bach,Marta,16,36
203,Bachmann,Alexander,5,32
204,Bacmaga,Dominika,13,3
205,Bacon,Phoebe,20,30
206,Bacosi,Diana,8,26
207,Badloe,Kiran,10,25
208,Badosa,Paula,16,33
209,Bae,Sanghee,15,26
210,Bai,Li,12,3
211,Bailey,Jr,20,3
212,Bailleul,Margaux,4,23
213,Bajor,Natalia,13,31
214,Baker,Georgia,0,12
215,Baker,Kurt,11,24
216,Baker,Nicklas,6,3
217,Baker,Perry,20,24
218,Baker,Ronnie,20,3
219,Bakker,Billy,10,17
220,Bakshi,Gleb,14,5
221,Balastegui,Manel,16,23
222,Baldassarri,Milena,8,22
223,Balduccini,Stephanie,1,30
224,Balk,Lars,10,17
225,Balkan,Onur,18,11
226,Balla,Virag,7,7
227,Ballo,Stefano,8,30
228,Balogh,Matyas,7,0
229,Balsamo,Elisa,8,12
230,Balsdon,Grace,6,17
231,Balsiger,Bryan,17,14
232,Baltaci,Ozkan,18,3
233,Balzer,Sara,4,15
234,Bandeira,Fraga,1,3
235,Bando,Yuta,9,3
236,Banti,Caterina,8,25
237,Banzeruk,Ivan,19,3
238,Bao,Shanju,12,12
239,Bao,Yingfeng,12,14
240,Baptista,Luisa,1,35
241,Barabanov,Mykyta,19,3
242,Baranchuk,Anna,14,24
243,Baranova,Varvara,14,7
244,Baranski,Fabian,13,23
245,Barbachan,Ana,1,25
246,Barbancon,Morgan,4,14
247,Barbelin,Lisa,4,0
248,Barber,Kelsey-lee,0,3
249,Barbieri,Rachele,8,12
250,Barbosa,Eduardo,1,18
251,Barcelo,Martin,16,25
252,Bardenet,Alexandre,4,15
253,Bardi,Dos,1,3
254,Barker,Elinor,6,12
255,Barnes,David,0,0
256,Barnes,Emre,18,3
257,Barnes,Nikole,20,25
258,Barniak,Tomasz,13,7
259,Barras,Tom,6,23
260,Barratt,Jordyn,20,27
261,Barrett,Danny,20,24
262,Barrett,Stephanie,2,0
263,Barrette,Hugo,2,12
264,Barrios,Navarro,16,17
265,Barros,Pedro,1,27
266,Bart,Adrien,4,7
267,Bartelsmeyer,Amos,5,3
268,Bartha-keri,Bianka,7,3
269,Barthel,Mona,5,33
270,Barthel,Timo,5,13
271,Bartnik,Tomasz,13,26
272,Barty,Ashleigh,0,33
273,Bashaev,Tamerlan,14,18
274,Basic,Hana,0,3
275,Basile,Fabio,8,18
276,Basova,Liubov,19,12
277,Basseto,Guilherme,1,30
278,Basterra,Jose,16,17
279,Bastien,Steven,20,3
280,Batashova,Uliana,14,21
281,Bateman,Amanda,0,23
282,Batini,Martina,8,15
283,Batista,Ketiley,1,3
284,Bativakalolo,Raichel,9,24
285,Batki,Noemi,8,13
286,Batsarashkina,Vitalina,14,26
287,Batt-doyle,Isobel,0,3
288,Battai,Sugar,7,15
289,Batten,Haley,20,10
290,Battiston,Michela,8,15
291,Battle,Anavia,20,3
292,Batyrgaziev,Albert,14,5
293,Batyrshina,Zilia,14,26
294,Baumann,Christian,17,1
295,Baumgart-witan,Iga,13,3
296,Bazarzhapov,Galsan,14,0
297,Beale,Daniel,0,17
298,Beaugrand,Cassandre,4,35
299,Beaumont,Jack,6,23
300,Beaumont,Maxime,4,7
301,Bebendorf,Karl,5,3
302,Beccaro,Luca,8,7
303,Becchetti,Mariavittoria,8,3
304,Bechdeju,Laura,16,1
305,Beck,Alex,0,3
306,Beck,Leonie,5,20
307,Becker,Charlotte,5,12
308,Bednarek,Kenneth,20,3
309,Bedrani,Djilali,4,3
310,Beer,Ellie,0,3
311,Beer,Jolyn,5,26
312,Beesley,Meghan,6,3
313,Beke,Kornel,7,7
314,Bekesi,Eszter,7,30
315,Bekh-romanchuk,Maryna,19,3
316,Bekhazi,Joelle,2,36
317,Bekkering,Annemiek,10,25
318,Bekmez,Meryem,18,3
319,Belaud,Valentin,4,21
320,Belcher,Mathew,0,25
321,Belhadj,Mehdi,4,3
322,Belinska,Alla,19,38
323,Bell,Alexandra,6,3
324,Bellandi,Alice,8,18
325,Bellio,Katrina,2,30
326,Bello,Elena,8,3
327,Belmonte,Mireia,16,30
328,Belocian,Wilhem,4,3
329,Belomoina,Yana,19,10
330,Beltran,Mir,16,17
331,Belyavskiy,David,14,1
332,Ben,Adrian,16,3
333,Ben,Daoud,16,3
334,Benard,Chris,20,3
335,Benati,Lorenzo,8,3
336,Bencic,Belinda,17,33
337,Benedetti,Julia,16,27
338,Benegas,Perris,20,8
339,Benitez,Andrea,16,27
340,Benjamin,Rai,20,3
341,Benn,Brittany,2,24
342,Bennama,Billal,4,5
343,Bennett,George,11,11
344,Bennett,Karen,6,23
345,Bentz,Gunnar,20,30
346,Berder,Cecilia,4,15
347,Berecz,Zsombor,7,25
348,Berger,Eline,10,23
349,Berger,Eva,4,3
350,Berger,Matt,2,27
351,Bergere,Leo,4,35
352,Berkhout,Lobke,10,25
353,Berna,Phil,2,24
354,Bernabeu,Maria,16,18
355,Bernat,Laura,13,30
356,Bernau,Madelynn,20,26
357,Bernaz,Jean,4,25
358,Bernek,Peter,7,30
359,Berre',Enrico,8,15
360,Berry,Gwen,20,3
361,Bersneva,Maria,14,36
362,Berta,Elena,8,25
363,Bertazzo,Liam,8,12
364,Berteau,Victoire,4,12
365,Bertens,Kiki,10,33
366,Bertocchi,Elena,8,13
367,Bertoncelli,Marta,8,6
368,Bertrand,Coralie,4,24
369,Bessaguet,Clement,4,26
370,Best,Justin,20,23
371,Bestue,Jael,16,3
372,Bethlen,Bruno,1,25
373,Bettiol,Alberto,8,11
374,Bettles,Sarah,6,0
375,Betto,Alice,8,35
376,Beucke,Susann,5,25
377,Beukers,Nicole,10,23
378,Bevan,Kelsey,11,23
379,Bevin,Patrick,11,11
380,Bey,Augustin,4,3
381,Bi,Kun,12,25
382,Bian,Tongda,12,3
383,Bianchi,Ilaria,8,30
384,Bibby,Dan,6,24
385,Bichler,Timo,5,12
386,Bicsak,Bence,7,35
387,Bida,Sergey,14,15
388,Bigot,Quentin,4,3
389,Biles,Simone,20,1
390,Billot,Mathieu,4,14
391,Bilodeau,Mathieu,2,3
392,Bilodid,Daria,19,18
393,Bingham,Khamica,2,3
394,Birch,Chloe,6,4
395,Bird,Elizabeth,6,3
396,Bird,Kieran,6,30
397,Bird-smith,Dane,0,3
398,Biriz,Onur,18,25
399,Biron,Gilles,4,3
400,Birtwhistle,Jacob,0,35
401,Bishop-nriagu,Melissa,2,3
402,Biskup,Mateusz,13,23
403,Bissegger,Stefan,17,12
404,Bisset,Catriona,0,3
405,Bissett,Brenden,2,17
406,Bithell,Stuart,6,25
407,Bitsch,Noah,5,19
408,Blaak,Pirmin,10,17
409,Black,Elsabeth,2,1
410,Blackburn,Angeline,0,3
411,Blais-belanger,Marc-antoine,2,15
412,Blake,Jerome,2,3
413,Blaze,Anita,4,15
414,Blech,Torben,5,3
415,Blevins,Christopher,20,10
416,Bliznyuk,Anastasia,14,22
417,Blok,Justen,10,17
418,Blom,Merel,10,14
419,Blundell,Jenny,0,3
420,Blyde,Michaela,11,24
421,Boari,Lucilla,8,0
422,Boateng,Bismark,2,3
423,Bocchi,Tobia,8,3
424,Bocekler,Beril,18,30
425,Boch,Simon,5,3
426,Bockarie,Solomon,10,3
427,Bodegas,Michael,8,36
428,Bodenmuller,Eveline,17,14
429,Bodnar,Maciej,13,11
430,Bodnarchuk,Mariola,19,22
431,Bodonyi,Dora,7,7
432,Bogliolo,Luminosa,8,3
433,Bohus,Richard,7,30
434,Boivin,Guillaume,2,11
435,Bokesa,Aauri,16,3
436,Bol,Femke,10,3
437,Bol,Peter,0,3
438,Boll,Timo,5,31
439,Bolou,Marie,4,25
440,Bolto,Marc,16,17
441,Bonastre,Peremateu,16,17
442,Bond,Hamish,11,23
443,Bone,Edwina,0,17
444,Bone,Oliver,2,25
445,Bonevacia,Liemarvin,10,3
446,Bonfim,Caio,1,3
447,Bongiorni,Anna,8,3
448,Bonhomme,Ariane,2,12
449,Bonnet,Charlotte,4,30
450,Boonzaaijer,Janneke,10,14
451,Booth,Joshua,0,23
452,Boothroyd,John,2,17
453,Bordier,Gabriel,4,3
454,Bordignon,Giorgia,8,37
455,Bordone,Susanna,8,14
456,Borel,Yannick,4,15
457,Borga,Rebecca,8,3
458,Borges,Gabriel,1,25
459,Borkowski,Mateusz,13,3
460,Borodachev,Kirill,14,15
461,Borodin,Ilia,14,30
462,Borowska,Dorota,13,7
463,Borras,Marion,4,12
464,Borrero,Molina,3,38
465,Borthwick,Emily,6,3
466,Borutta,Samantha,5,3
467,Bosse,Pierre-ambroise,4,3
468,Bosserhoff,Niklas,5,17
469,Bosworth,Sam,11,23
470,Bosworth,Tom,6,3
471,Botalova,Maria,14,23
472,Botin,Le,16,25
473,Bottaro,Viviana,8,19
474,Botticher,Stefan,5,12
475,Boucheron,Hugo,4,23
476,Bougard,Erica,20,3
477,Boukli,Shirine,4,18
478,Bouma,Andrea,10,3
479,Bourez,Michel,4,29
480,Bourke,Colin,9,24
481,Boutier,Celine,4,16
482,Bouwmeester,Marit,10,25
483,Bove,Claire,4,23
484,Bovendeert,Roel,10,17
485,Bowen,Alex,20,36
486,Boyer,Marine,4,1
487,Bozan,Dilara,18,19
488,Bradshaw,Holly,6,3
489,Brady,Jennifer,20,33
490,Braegger,Pablo,17,1
491,Braendle,Naemi,17,6
492,Bragmayer,Zsanett,7,35
493,Braid,Connor,2,24
494,Braidot,Luca,8,10
495,Brake,Michael,11,23
496,Brand,Tim,0,17
497,Brandau,Elisabeth,5,10
498,Brandl,Maximilian,5,10
499,Brash,Scott,6,14
500,Braspennincx,Shanne,10,12
501,Braunschweig,Ole,5,30
502,Brausse,Franziska,5,12
503,Bray-lougheed,Alanna,2,7
504,Braz,Thiago,1,3
505,Brazier,Kelly,11,24
506,Brecciaroli,Stefano,8,14
507,Brembach,Nils,5,3
508,Brendel,Sebastian,5,7
509,Brennauer,Lisa,5,11
510,Bres,Klaudia,13,26
511,Brew,Chloe,6,23
512,Brier,Joseph,6,3
513,Brigden-jones,Jo,0,7
514,Brinegar,Michael,20,30
515,Brinkman,Thierry,10,17
516,Brodka,Amelia,13,27
517,Broeksma,Gijs,10,0
518,Broenink,Stef,10,23
519,Broersen,Nadine,10,3
520,Bromell,Trayvon,20,3
521,Bromley,Michelle,0,31
522,Brooks,Declan,6,8
523,Brossier,Amandine,4,3
524,Broszus,Blake,2,15
525,Broughton,Gayle,11,24
526,Brown,Abbie,6,24
527,Brown,Alicia,2,3
528,Brown,Colton,20,18
529,Brown,Erika,20,30
530,Brown,Grace,0,11
531,Brown,Joanna,2,35
532,Brown,Maceo,20,24
533,Brown,Mackenzie,20,0
534,Brown,Max,11,7
535,Brown,Sky,6,27
536,Browning,Kayle,20,26
537,Browning,Rohan,0,3
538,Brownlee,Jonathan,6,35
539,Bruce,Lauren,11,3
540,Bruce,Nick,20,8
541,Bruessler,Sarah,5,7
542,Bruhn,Annika,5,30
543,Brunet,Manon,4,15
544,Bruni,Rachele,8,20
545,Bruni,Roberta,8,3
546,Brydon,David,11,17
547,Bryzhina,Anastasiya,19,3
548,Brzezinski,Marcin,13,23
549,Brzozowski,Artur,13,3
550,Bu,Tingkai,12,7
551,Buchanan,Rushlee,11,12
552,Buchard,Amandine,4,18
553,Buchli,Matthijs,10,12
554,Buchmann,Emanuel,5,11
555,Buck,Charlotte,20,23
556,Buckingham,Ben,0,3
557,Buckingham,Charlie,20,25
558,Buckle,Carolyn,0,2
559,Buckling,Hannah,0,36
560,Buczek,Jakub,2,23
561,Budiak,Anatolii,19,11
562,Bueno,Laura,16,3
563,Bufoni,Leticia,1,27
564,Bugajski,Josh,6,23
565,Bui,Kim,5,1
566,Buisa,Pam,2,24
567,Bujold,Mandy,2,5
568,Bukhov,Vladyslav,19,30
569,Bukowiecki,Konrad,13,3
570,Bull,Alyssa,0,7
571,Bull,Tyson,0,1
572,Bulmer,Josephine,0,7
573,Burdisso,Federico,8,30
574,Burger,Guillaume,4,7
575,Burgess,Adam,6,6
576,Burghardt,Alexandra,5,3
577,Burgo,Samuele,8,7
578,Burian,Katalin,7,30
579,Burkard,Elena,5,3
580,Burkhill,Hannah,0,2
581,Burks,Quanesha,20,3
582,Burling,Peter,11,25
583,Burmann,De,1,3
584,Burnet,Anna,6,25
585,Burnet,Taymir,10,3
586,Burns,Tom,11,32
587,Burton,Abi,6,24
588,Busa,Luigi,8,19
589,Busato,Mattia,8,19
590,Busch,Kim,10,30
591,Buscomb,Camille,11,3
592,Bussiere,Theo,4,30
593,Bustos,Sanchez,16,36
594,Butchart,Andrew,6,3
595,Butsenko,Mykola,19,5
596,Butterworth,Alycia,2,3
597,Butterworth,Lindsey,2,3
598,Butts-townsend,Tynita,20,3
599,Caballero,Denia,3,3
600,Cabana,Perez,16,18
601,Caceres,Eusebio,16,3
602,Cai,Alex,2,15
603,Cai,Zelin,12,3
604,Cainero,Chiara,8,26
605,Cakiroglu,Buse,18,5
606,Calabro,Giulio,8,25
607,Calderano,Hugo,1,31
608,Caldwell,Abbey,0,3
609,Caljouw,Mark,10,4
610,Callegari,Beatrice,8,2
611,Camboni,Mattia,8,25
612,Camilo,De,1,3
613,Campbell,Bronte,0,30
614,Campbell,Cate,0,30
615,Campbell,Emily,6,37
616,Campbell,Jesse,11,14
617,Campbell,Luke,5,3
618,Campbell,Paige,0,3
619,Campbell,Richard,0,36
620,Campbell,Taylor,6,3
621,Campion,Kevin,4,3
622,Campos,Jorge,3,31
623,Campos,Luiza,1,24
624,Campos,Pereira,1,3
625,Can,Yasemin,18,3
626,Canalejo,Pazos,16,23
627,Canett,Kayla,20,24
628,Cannone,Romain,4,15
629,Cano,Ruiz,16,17
630,Canter,Rosalind,6,14
631,Cantero,Reina,16,25
632,Canuel,Karol-ann,2,11
633,Capobianco,Andrew,20,13
634,Caporaso,Teodorico,8,3
635,Caramignoli,Martina,8,30
636,Carballes,Baena,16,33
637,Carbonell,Ballestero,16,2
638,Card,Kelsey,20,3
639,Cardona,Mendez,16,25
640,Carey,Jade,20,1
641,Cargnin,Daniel,1,18
642,Carini,Giacomo,8,30
643,Carli,Sarah,0,3
644,Carlile,Thomas,4,14
645,Carlin,Jack,6,12
646,Carnegie,Sholto,6,23
647,Carraro,Martina,8,30
648,Carrier,Marina,0,21
649,Carrington,Lisa,11,7
650,Carro,Fernando,16,3
651,Carter,Chris,20,3
652,Caruso,Bianca,8,25
653,Caruso,Damiano,8,11
654,Carvalho,Lucas,1,3
655,Casey,Paul,6,16
656,Cashin,Amy,0,3
657,Casillas,Garcia,16,35
658,Caslick,Charlotte,0,24
659,Cassandro,Tammaro,8,26
660,Cassara,Andrea,8,15
661,Cassin,Alexandre,4,31
662,Casson,Jennifer,2,23
663,Castaldo,Matteo,8,23
664,Castro,Daniel,16,0
665,Cavagna,Remi,4,11
666,Cavalli,Marta,8,11
667,Cavanna,Domiziana,8,2
668,Ceccarello,Sofia,8,26
669,Ceccon,Thomas,8,30
670,Centofanti,Martina,8,22
671,Centracchio,Maria,8,18
672,Centrowitz,Matthew,20,3
673,Cerezo,Iglesias,16,32
674,Cerruti,Linda,8,2
675,Cerullo,Isadora,1,24
676,Cesarini,Federica,8,23
677,Chabel,Monika,13,23
678,Chabel,Wiktor,13,23
679,Chabowski,Marcin,13,3
680,Chae,Yujung,15,4
681,Chahdi,Hassan,4,3
682,Chaine,Guillaume,4,18
683,Chalker,Emily,0,17
684,Chalmers,Cameron,6,3
685,Chalmers,Kyle,0,30
686,Chamizo,Marquez,8,38
687,Chang,Yuan,12,5
688,Chang,Yong,15,24
689,Chanourdie,Julia,4,28
690,Chardy,Jeremy,4,33
691,Charles,Harry,6,14
692,Charlton,Samantha,11,17
693,Charron,Maude,2,37
694,Charter,Andrew,0,17
695,Chase,Kendall,20,23
696,Chaves,Guimaraes,1,21
697,Chebotar,Vladislav,14,7
698,Chekhirkin,Aleksandr,14,38
699,Chelli,Tommaso,8,26
700,Chen,Aisen,12,13
701,Chen,Daxiang,12,5
702,Chen,Dongqi,12,26
703,Chen,He,12,25
704,Chen,Hsuan-yu,0,4
705,Chen,Jiamin,12,3
706,Chen,Jie,12,30
707,Chen,Keyi,12,24
708,Chen,Long,12,4
709,Chen,Meng,12,31
710,Chen,Qingyuan,12,15
711,Chen,Qing,12,4
712,Chen,Shasha,12,25
713,Chen,Shi,12,6
714,Chen,Xiao,12,36
715,Chen,Yang,12,3
716,Chen,Yang,12,17
717,Chen,Yi,12,17
718,Chen,Yunxia,12,23
719,Chen,Yuxi,12,13
720,Chen,Yu,12,4
721,Cheng,Eden,6,13
722,Cheng,Long,12,30
723,Cheng,Yujie,12,30
724,Cherkasova,Alla,19,38
725,Chernigovskaya,Svetlana,14,7
726,Chernousov,Artem,14,26
727,Chernousova,Margarita,14,26
728,Chernysheva,Anna,14,19
729,Cherry,Michael,20,3
730,Chetverikova,Anastasiia,19,7
731,Chew,Phillip,20,4
732,Chew,Ryan,20,4
733,Chibana,Gabriela,1,18
734,Chigireva,Vlada,14,2
735,Chikunova,Evgeniia,14,30
736,Chiles,Jordan,20,1
737,Chimrova,Svetlana,14,30
738,Chirault,Thomas,4,0
739,Cho,Eunyoung,15,26
740,Cho,Guham,15,18
741,Cho,Gwanghee,15,7
742,Cho,Mahama,6,32
743,Cho,Sungjae,15,30
744,Cho,Sungmin,15,25
745,Cho,Wonwoo,15,25
746,Choe,Byeongkwang,15,3
747,Choi,Hyojoo,15,31
748,Choi,Injeong,15,15
749,Choi,Kyungsun,15,3
750,Choi,Sooyeon,15,15
751,Choi,Seong,15,24
752,Choi,Solgyu,15,4
753,Cholnoky,Sara,7,25
754,Chon,Jongwon,15,28
755,Choo,Gaeun,15,26
756,Choong,Joseph,6,21
757,Choquert,Benjamin,4,3
758,Choukoud,Khalid,10,3
759,Chourraut,Maialen,16,6
760,Christen,Nina,17,26
761,Christie,Nick,20,3
762,Christmas,Kyra,2,36
763,Chupkov,Anton,14,30
764,Ciccone,Giulio,8,11
765,Cid,Aina,16,23
766,Cienfuegos,Javier,16,3
767,Cieplucha,Tessa,2,30
768,Ciftci,Batuhan,18,5
769,Ciloglu,Bilal,18,18
770,Cimini,Gabriele,8,15
771,Cinar,Ates,18,25
772,Cinar,Deniz,18,25
773,Ciofani,Anne-cecile,4,24
774,Cipressa,Erica,8,15
775,Cirilo,Duboys,3,7
776,Cirjenics,Miklos,7,18
777,Citrini,Beaulieu,2,13
778,Claessens,Zoe,17,9
779,Clancy,Edward,6,12
780,Clareburt,Lewis,11,30
781,Clark,Tamara,20,3
782,Clark,Zoey,6,3
783,Clarke,Cheavon,6,5
784,Clarke,Dominic,0,34
785,Clarke,Frazer,6,5
786,Clarke,Matthew,0,3
787,Claxton,Jane-anne,0,17
788,Clay,Liz,0,3
789,Cleary,Jack,0,23
790,Clemons,Christina,20,3
791,Clerget,Axel,4,18
792,Clevering,Ymkje,10,23
793,Clouvel,Elodie,4,21
794,Coban,Merve,18,19
795,Coburn,Emma,20,3
796,Cockrell,Anna,20,3
797,Cocuzzi,Luiz,1,10
798,Coelho,Ygor,1,4
799,Coffey,Olivia,20,23
800,Colak,Ibrahim,18,1
801,Coleman,Nathaniel,20,28
802,Coles,Laura,0,26
803,Collard,Maxime,4,14
804,Colledani,Nadir,8,10
805,Collett,Laura,6,14
806,Collier,Dylan,11,24
807,Collier,Elise,0,26
808,Collins,John,6,23
809,Colombo,Filippo,17,10
810,Colombotto,Rosso,8,16
811,Compaore,Benjamin,4,3
812,Condie,Kyra,20,28
813,Condorelli,Santo,8,30
814,Coninx,Dorian,4,35
815,Conners,Corey,2,16
816,Connor,Ben,6,3
817,Connor,Isabelle,20,22
818,Consonni,Simone,8,12
819,Constantine,Kyra,2,3
820,Constien,Valerie,20,3
821,Contreras,Isabel,16,7
822,Conyedo,Ruano,8,38
823,Cook,Oliver,6,23
824,Cook,Tamsin,0,30
825,Cooke,James,6,21
826,Coombes,Alec,6,24
827,Cooper,Abbey,20,3
828,Cooper,Anton,11,10
829,Cooper,Isaac,0,30
830,Copello,Yasmani,18,3
831,Coppell,Harry,6,3
832,Copponi,Clara,4,12
833,Coquillard,Andre,15,24
834,Corchete,Luis,16,3
835,Cormenier,Carole,4,26
836,Cormont,Ethan,4,3
837,Cornet,Alize,4,33
838,Correa,Matheus,1,3
839,Corrigan,Liam,20,23
840,Cortes,Juncosa,16,17
841,Cosnefroy,Benoit,4,11
842,Costa,Guilherme,1,30
843,Costa,Thalia,1,24
844,Costello,Amy,6,17
845,Cote,Andree-anne,2,2
846,Coughlan,Aoife,0,18
847,Cournoyer,Rene,2,1
848,Courtney,Kate,20,10
849,Coutinho,Geisa,1,3
850,Couzy,Melanie,4,26
851,Coward,Holley,6,26
852,Coward,Josh,0,24
853,Cox,Bronwyn,0,23
854,Coxsey,Shauna,6,28
855,Crackles,Fiona,6,17
856,Craddock,Lawson,20,11
857,Craft,Shanice,5,3
858,Craig,Emily,6,23
859,Craig,Thomas,0,17
860,Cranny,Elise,20,3
861,Craviotto,Saul,16,7
862,Creed,Brendan,6,17
863,Crescenzo,Angelo,8,19
864,Crevier,Axelle,2,36
